,n_gaps,fun,msg,x_mean,lowest_gap_ind,size
37,2,0.026099983485175254,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5955765915777868,0.17375521605968994,8
38,2,0.013071732011539557,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6146094002889126,0.19583743022290723,8
39,2,0.03411454771060179,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6369380638014759,0.19521713025546808,8
40,2,0.017783253755929748,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6080641879369714,0.24328409025678407,8
41,2,0.029509856068176195,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6064243550650603,0.331405186735272,8
42,2,0.02045878938503487,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5752436904312411,0.2741202448150169,8
43,2,0.029962594389487757,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5918767856327726,0.5259155085346527,8
44,2,0.013549266174412367,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5364294708142615,0.5097806843014415,8
45,2,0.022615113065773757,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6386486962257193,0.14462695745963297,8
46,2,0.12459184633119197,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6604883141214136,0.20931421899911326,8
47,2,0.026949909897989253,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.543840796780807,0.49988545503930937,8
48,2,0.03643448140837902,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.44878634617508584,0.8772245707507188,8
49,2,0.20286357766973073,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6411781729283771,0.29867883102595566,8
50,2,0.018152070182084305,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5318920264644803,0.48888774595287765,8
51,2,0.028920052704693652,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5709305786887168,0.605996408989405,8
52,2,0.031013814124273304,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6585738392684577,0.14431896371138286,8
53,2,0.04435197243654713,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5812581978637271,0.10708935035255439,8
54,2,0.34438534040008106,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5804984443834832,0.5941119387905018,8
55,2,0.017701111209903704,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.4989370601970577,0.6926020782444283,8
56,2,0.020058917445374084,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5098385881813802,0.6340895178458268,8
57,2,0.010813081459457394,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6332828019186465,0.3155696787123048,8
58,2,0.011087578251469292,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6038328669359035,0.37985849744154077,8
59,2,0.008495556262834207,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5637146174184549,0.6795443380608672,8
60,3,0.015477698174647794,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5105494275312089,0.6539447667509565,8
61,3,0.0793272610268436,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6053517180973705,0.12674007830244494,8
62,3,0.04248565745845915,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5396341439505319,0.37995217899606193,8
63,3,0.06489746005059023,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5895700663720093,0.11351116918723712,8
64,3,0.023900562312372486,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6019970434203539,0.10356269070111433,8
65,3,0.033006940584917134,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.559859740429118,0.1329072264769547,8
66,3,0.04488555899394702,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6059256994501384,0.17467562901005876,8
