,n_gaps,fun,msg,min_gap,lowest_gap_ind,size,kmean
0,1,0.004946471256344828,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.306318254862735,0.6606142725527857,4,0.5783566707990041
1,1,0.041257692743681594,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5265668423852135,0.8502802732247882,4,0.3252058946627545
2,1,0.09014238992718368,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.3123029303489586,0.7175292994262112,4,0.4681809409758266
3,1,0.012347366773666851,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.40832858778400727,0.8824512268440973,4,0.3885803615984318
4,1,0.025176170260383986,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.29554606831329244,0.8068271614260015,4,0.4784581908331673
5,1,0.07347031170981674,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.012363199408435666,0.8961789751993957,4,0.37700616059206177
6,1,0.03315444272689915,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.33422095282993824,0.8010034306263999,4,0.47075890689408323
7,1,0.027394489546643305,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.1980201278574084,0.3872929981402037,4,0.5843117744656217
8,1,0.0855734336434165,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.0246596349209367,0.7778593079690361,4,0.5151831823257887
9,1,0.07172934877656455,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.17518595055952468,0.2122591591564607,4,0.6507274846795982
10,1,0.08595676405396643,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.09160566954716287,0.19640320031793293,4,0.6668605456399854
11,1,0.0064586641116682235,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.0007195995512558895,0.2728859048483073,4,0.4690861841216187
12,1,0.05013388310506365,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.25279409816539067,0.5145349628615653,4,0.5619837853855884
13,1,0.0402845744164375,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.053115979768905364,0.7902472836277732,4,0.5091893637307798
14,1,0.022032294243048266,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.39271520961895345,0.7816984810678915,4,0.46074173197357915
15,1,0.034874344942091566,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.04343988752253036,0.3630634749886883,4,0.5862795074360789
16,1,0.020773106602369265,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.487024954039347,0.7835007803761712,4,0.4265125866125623
17,1,0.038386024752420644,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.2019245151696798,0.2864938283456089,4,0.6073851255335813
18,1,0.062317826193497586,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.14550250282263888,0.15843071509314877,4,0.683821439153622
19,1,0.05035457773023791,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.03200830989053305,0.2688579470066259,4,0.5231104009306052
20,1,0.03459229209403195,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.12104268089839232,0.2311168861008917,4,0.6498445341691647
21,1,0.15630899765560516,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.07818213155609655,0.2356781951972125,4,0.7097444560742444
22,1,0.03805228599979434,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.4432902266837877,0.7666082896836562,4,0.47235615277438986
23,1,0.058529905732672645,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.257250727842691,0.5585590629875531,4,0.5600940255588736
24,1,0.025286920275153772,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.20542274402630578,0.3623090184382477,4,0.6126606570284637
25,1,0.009170533560337209,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.013312829118448777,0.713338671591049,4,0.566472176180216
26,1,0.022748439161193373,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.28444611140606435,0.8161549985474019,4,0.48611176665292294
27,1,0.02679543465084841,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.04394398249510734,0.19271495797831442,4,0.7184647540123065
28,1,0.06504687657339679,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.06701838494097934,0.8699142590433001,4,0.34170060223320103
29,1,0.030918312300931727,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.3037861308690948,0.8641484428148462,4,0.4411833718648957
30,1,0.09411753192305675,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.20155464699160497,0.2476251363384792,4,0.6647094914075449
31,1,0.04853937341094197,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.18315358323610398,0.5048425162769637,4,0.5722871094907149
32,1,0.051246672698697524,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.2916197325259018,0.5983048136252633,4,0.5508595980128744
