,n_gaps,fun,msg,x_mean,lowest_gap_ind,size
0,1,0.02947289165140597,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.559476617006816,0.6262848213895199,6
1,1,0.007634757629552044,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5753301204839797,0.2914754507690033,6
2,1,0.006627826076714245,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5398107193674055,0.7884654438590786,6
3,1,0.008832010096851278,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6207312775304634,0.41721727969214173,6
4,1,0.015016451996096036,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5695639967623783,0.1750967872390879,6
5,1,0.0035426714500007696,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.3982688249602073,0.8964831840303579,6
6,1,0.017286099652021377,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5945920521496185,0.6945136547582187,6
7,1,0.09395813312554359,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.7521780931037663,0.10258813106213216,6
8,1,0.023531752680377303,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.43088265999810926,0.843645580465532,6
9,1,0.014769427378255321,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5688457556613382,0.4971261270126869,6
10,1,0.015552074294160943,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5633221634113593,0.8427101118463567,6
11,1,0.02961936455183953,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5629216682430948,0.5639043688021754,6
12,1,0.03901809856808341,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5534260629580154,0.5932140907235026,6
13,1,0.024716429114102344,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6708196870932386,0.3299609585957395,6
14,1,0.02599912295789151,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5251558917393129,0.5173367409165673,6
15,1,0.008807533015498565,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6007912726281963,0.3824484900948302,6
16,1,0.03237555847566447,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6472649568488551,0.3644265963039892,6
17,1,0.03789441814715886,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.7011952925537306,0.16140671747435348,6
18,1,0.00917449910354345,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5967589266132011,0.34985484102663894,6
19,1,0.042596229729421405,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.6057722599489559,0.479549301618455,6
20,1,0.055835041766456914,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.715554671783076,0.14655301208518434,6
21,1,0.03882777549998245,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.5836487117132078,0.40800386820063705,6
