,n_gaps,fun,msg,min_gap,lowest_gap_ind,size,kmean
0,1,0.024887316553796408,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.21983745885121575,0.22144351457189757,4,0.6467831202586455
1,1,0.019526759288177504,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.3900828209124061,0.8131475502146585,4,0.4715577085048303
2,1,0.05926476361187268,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.31020856286393084,0.5501517523534577,4,0.5975499962870926
3,1,0.027489773945062267,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.1594903742228423,0.1653704183210664,4,0.7151753010432977
4,1,0.052028202208489235,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.19072442943685264,0.30927116656561604,4,0.6032346779647055
5,1,0.041613682489540456,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.31325110995129846,0.44668355976677543,4,0.544183095159158
6,1,0.035840581278703834,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.14188722995526715,0.10505509092803988,4,0.7051370838475582
7,1,0.04456869886634609,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.18308277189485556,0.27128587815406524,4,0.6759877439682213
8,1,0.02371432975962019,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.026335062779601293,0.872192160988817,4,0.5137892799319612
9,1,0.04747856564388209,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.3876124758973527,0.8010563308946143,4,0.5416228972963011
10,1,0.08102404769753432,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.2240687081830055,0.609246733144534,4,0.6183701644100773
11,1,0.03605753018191634,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.26966387685604587,0.3806139342902334,4,0.5998439057828465
12,1,0.05209802808379547,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.2122088549852834,0.5938521453148059,4,0.6068656235210707
13,1,0.014038575926819542,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.36913417663183834,0.7819513745714818,4,0.46239800844048656
14,1,0.1565907574988099,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.12415808426207176,0.10426051416622517,4,0.7292879709680102
15,1,0.09276729321542966,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.30583616992173734,0.5666749850418128,4,0.5889837855986907
16,1,0.04690724583751389,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.23427821429226192,0.5170401831278155,4,0.5790801423446407
17,1,0.04858448163600245,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.04541637999474113,0.7120388897121684,4,0.4968098145227153
18,1,0.028306157700689935,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.3930756383141256,0.7845736936623909,4,0.43329200383321415
19,1,0.040855354207459824,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.3463980449933357,0.5867293485942,4,0.5037907097116795
20,1,0.06090512318467652,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.20425133755674818,0.27991651601831724,4,0.6246482864281783
21,1,0.07550657753229993,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.24480564917159597,0.40970901807648674,4,0.6118069834772305
22,1,0.06480938753235137,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.3096753126134655,0.45957781356313177,4,0.5441523774785414
23,1,0.04129020659254542,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.2889571770841759,0.6174501144974682,4,0.5816703490185163
24,1,0.08666401075845095,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.03953858992523185,0.46323880977017085,4,0.5817851836426228
25,1,0.061704403358707416,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.14714150103032841,0.23469848953316108,4,0.6352841805262889
26,1,0.09659276380178271,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.2653464202659961,0.5611374685862703,4,0.5218902362621028
27,1,0.011768990549338106,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.3599610681860146,0.7453899668594458,4,0.5029598765670624
28,1,0.07526221349150349,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.16745581647816876,0.14655360460710343,4,0.7242975793373393
29,1,0.041976416357823856,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.2213330905059887,0.6987279385817755,4,0.49521032042432006
30,1,0.032548655045674696,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.2415138927828906,0.34379806692078124,4,0.5841619382697522
31,1,0.051306115252865485,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.22717918972919915,0.25825598698098473,4,0.6602620745181002
32,1,0.1277467025350061,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.010016088683165059,0.8468755707904964,4,0.5313689564614362
