,n_gaps,fun,msg,min_gap,lowest_gap_ind,size
37,2,0.006505688604717055,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.0022104664073284708,0.40574000612942973,6
38,2,0.056495217060422896,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.03157933808868019,0.23759185460631774,6
39,2,0.03054809268320999,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.012569224374135102,0.48584053561925566,6
40,2,0.09476794405148817,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.11515949635293221,0.27009048114216105,6
41,2,0.026740788410715314,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.006031058983375637,0.5640293186687221,6
42,2,0.024680035438840106,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.027288928150211222,0.13842728969725793,6
43,2,0.046451606692818934,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.1466261564025496,0.3557320441383567,6
44,2,0.013325421832868613,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.08990362746332448,0.5145575865906955,6
45,2,0.03861376105294638,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.0078092035134820215,0.3629761811734338,6
46,2,0.039999545227006605,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.0009635912031473737,0.5685104205560646,6
47,2,0.022611117798802524,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.03528836477569175,0.20693738444904808,6
48,2,0.018822290855895804,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.1285393752583065,0.265563810742682,6
49,2,0.03859134974173242,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.18682939604557292,0.6613886034764903,6
50,2,0.024817642047843376,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.016772949026006234,0.5869421992614275,6
51,2,0.04083487842667776,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.006584002390795485,0.6607339114637121,6
52,2,0.015460387384872782,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.07049347508447612,0.16197018923308226,6
53,2,0.016954922541630727,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.07974582318048062,0.516013727826543,6
54,2,0.022236337618245065,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.14210091984914808,0.17292260938456405,6
55,2,0.04347310076170357,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.17112898290669654,0.34053133098499155,6
56,2,0.04537595203442317,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.09848447126575255,0.11739846041962974,6
57,2,0.03829544297163392,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.08470791312067116,0.6721148619731742,6
58,2,0.04064659039549509,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.218768901871079,0.5099173287710919,6
59,2,0.03938100364498054,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.01544513953952209,0.2683053344179743,6
60,3,0.027444359216498977,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.06647963338862461,0.46382907768785286,6
61,3,0.2637125814269196,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.030640140178927355,0.32516077827263495,6
62,3,0.056409190878453024,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.045491156949260425,0.18305657546334075,6
63,3,0.2055535639768359,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.00014546672556203788,0.28941227116016566,6
64,3,0.06549938676835217,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.10461914316960841,0.4715644554554189,6
65,3,0.22874561730842605,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.002067197914051855,0.238314453366976,6
66,3,0.06555279394067905,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.01955844339795032,0.14979987023158872,6
67,3,0.11423261530464952,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.0395112559227645,0.1252942998793378,6
68,3,0.06072794971182075,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.0603580292932675,0.11089886370810716,6
69,3,0.018407725588828243,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.06826067093729893,0.17521797769118283,6
70,3,0.2316524416713285,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.04892232614240988,0.5975264692559029,6
71,3,0.04966964680167066,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.07895810109786483,0.12520306711407292,6
72,3,0.09109067851659636,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',0.10447414886812623,0.462283012539224,6
73,3,0.11555978127758043,b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH',-0.006030539154457615,0.2638796117427532,6
